Network,Algorithm,Iterations,mean,std
network1,RC,10,0.7900323940967529,0.0029978602404575404
network1,RC,50,0.7925722588721413,0.0017370406998984498
network1,RC,100,0.8055411196007031,0.0010294611299772743
network1,async_lpa,10,0.8792579831448579,0.0
network1,async_lpa,50,0.8792579831448579,0.0
network1,async_lpa,100,0.8777772836121429,0.0
network1,greedy,10,0.3922456669218325,0.0792106310676469
network1,greedy,50,0.3922456669218325,0.0792106310676469
network1,greedy,100,0.3922456669218325,0.0792106310676469
network1,infomap,10,0.8817005728145425,0.00012006282337638457
network1,infomap,50,0.8816142217593317,4.473095579125793e-05
network1,infomap,100,0.8815723678442083,3.987939926655144e-05
network1,louvain,10,0.49575154225927476,0.0570531030606616
network1,louvain,50,0.5151219615572511,0.051770735479569535
network1,louvain,100,0.4923299541685446,0.05646101741931967
network10,RC,10,0.8361000714752459,0.004893154081939742
network10,RC,50,0.8344205515831101,0.002151219761160533
network10,RC,100,0.8523120507298062,0.0016918685306515958
network10,async_lpa,10,0.8084168573949457,0.0
network10,async_lpa,50,0.8084168573949457,0.0
network10,async_lpa,100,0.8121119736749078,0.0
network10,greedy,10,0.06030971158901257,0.015817107424334603
network10,greedy,50,0.06030971158901257,0.015817107424334603
network10,greedy,100,0.06030971158901257,0.015817107424334603
network10,infomap,10,0.8700960591752018,0.0013441970517043462
network10,infomap,50,0.8701435194582654,0.0011422573470630459
network10,infomap,100,0.8705207676596475,0.00029864456268343076
network10,louvain,10,0.6073554381659577,0.08714844278536883
network10,louvain,50,0.6190100415939089,0.08510694341535076
network10,louvain,100,0.604851413685397,0.08176847282665561
network11,RC,10,0.8611648924210943,0.00151065794752536
network11,RC,50,0.8630537684108207,0.0011052209591265526
network11,RC,100,0.8657660732184216,0.0007423015465164122
network11,async_lpa,10,0.70721833989503,0.0
network11,async_lpa,50,0.70721833989503,0.0
network11,async_lpa,100,0.6874436905182074,0.0
network11,greedy,10,0.028522547130475955,0.008749541691491204
network11,greedy,50,0.028522547130475955,0.008749541691491204
network11,greedy,100,0.028522547130475955,0.008749541691491204
network11,infomap,10,0.8505925138840486,0.002944758314972269
network11,infomap,50,0.8506350023987828,0.002611720437883885
network11,infomap,100,0.8478219301489685,0.0008320660192654488
network11,louvain,10,0.62689709824849,0.07018097380217188
network11,louvain,50,0.6364140577082906,0.06458034939927879
network11,louvain,100,0.6199580898090107,0.07574899614524874
network2,RC,10,0.79576893346524,0.0018216353978216162
network2,RC,50,0.7981143162976607,0.00187266869296428
network2,RC,100,0.8104110375218398,0.0010150741975012642
network2,async_lpa,10,0.8779609288652319,0.0
network2,async_lpa,50,0.8779609288652319,0.0
network2,async_lpa,100,0.8792989662298598,0.0
network2,greedy,10,0.31874683481032673,0.05541930125537165
network2,greedy,50,0.31874683481032673,0.05541930125537165
network2,greedy,100,0.31874683481032673,0.05541930125537165
network2,infomap,10,0.881720235566827,6.0509069290467e-05
network2,infomap,50,0.8816881466287366,7.587803096464039e-05
network2,infomap,100,0.8816377524924726,8.566681950768552e-05
network2,louvain,10,0.4914037954156651,0.08078417017070134
network2,louvain,50,0.5164591380791564,0.08000577029962712
network2,louvain,100,0.5108680336164894,0.07838015169023686
network3,RC,10,0.7962942603464308,0.002957136087251684
network3,RC,50,0.796081074246566,0.001538938213883142
network3,RC,100,0.8134977592257548,0.000987365845032276
network3,async_lpa,10,0.8800415029721084,0.0
network3,async_lpa,50,0.8800415029721084,0.0
network3,async_lpa,100,0.8805866443875136,0.0
network3,greedy,10,0.29363181082075623,0.05939753310337855
network3,greedy,50,0.29363181082075623,0.05939753310337855
network3,greedy,100,0.29363181082075623,0.05939753310337855
network3,infomap,10,0.8815116433963641,5.13586353344414e-05
network3,infomap,50,0.8814667927082279,6.814258533234771e-05
network3,infomap,100,0.8814202341540913,0.00042233506491238214
network3,louvain,10,0.5266574670219673,0.06378631311570356
network3,louvain,50,0.5378068276224297,0.06952802297387815
network3,louvain,100,0.546382343928283,0.0653092327988141
network4,RC,10,0.814147778496505,0.003467427314943466
network4,RC,50,0.8397022818759087,0.0013916732431251088
network4,RC,100,0.8417277537289813,0.0015539222002106934
network4,async_lpa,10,0.8806326243449079,0.0
network4,async_lpa,50,0.8806326243449079,0.0
network4,async_lpa,100,0.8783683346511465,0.0
network4,greedy,10,0.25071951739281045,0.006839741322194496
network4,greedy,50,0.25071951739281045,0.006839741322194496
network4,greedy,100,0.25071951739281045,0.006839741322194496
network4,infomap,10,0.8815032882451289,2.980062406190493e-06
network4,infomap,50,0.8815111740429271,0.0
network4,infomap,100,0.8813548775923035,0.0
network4,louvain,10,0.41985463782965293,0.03314643972017266
network4,louvain,50,0.3990279212232416,0.010716470395724143
network4,louvain,100,0.38762301843482844,0.012707624965910496
network5,RC,10,0.7930695684637306,0.004311565918215341
network5,RC,50,0.7944255930792122,0.0018076637937122987
network5,RC,100,0.8141718465137684,0.001377385499922139
network5,async_lpa,10,0.8660405889568313,0.0
network5,async_lpa,50,0.8660405889568313,0.0
network5,async_lpa,100,0.8707452541779033,0.0
network5,greedy,10,0.1888874334931447,0.04813753501174264
network5,greedy,50,0.1888874334931447,0.04813753501174264
network5,greedy,100,0.1888874334931447,0.04813753501174264
network5,infomap,10,0.8811513892266752,0.000124686161269459
network5,infomap,50,0.8812006795236732,9.889166303864342e-05
network5,infomap,100,0.8812172137625798,0.000101507666721045
network5,louvain,10,0.5630268778007991,0.06880070750374738
network5,louvain,50,0.5533553059843659,0.07883019908775585
network5,louvain,100,0.537015635785478,0.07466501449282366
network6,RC,10,0.7985170664472095,0.003977952821297442
network6,RC,50,0.8030246475973577,0.0020097731259088075
network6,RC,100,0.8226525187961672,0.0012090757263835087
network6,async_lpa,10,0.8612834293155626,0.0
network6,async_lpa,50,0.8612834293155626,0.0
network6,async_lpa,100,0.8650125352130983,0.0
network6,greedy,10,0.16769820729902146,0.040008830579074936
network6,greedy,50,0.16769820729902146,0.040008830579074936
network6,greedy,100,0.16769820729902146,0.040008830579074936
network6,infomap,10,0.880398323533216,0.00012762514836408596
network6,infomap,50,0.88044671046526,0.00013535218268673698
network6,infomap,100,0.8803838435430779,8.0947553775805e-05
network6,louvain,10,0.5668190285582603,0.061771275781748944
network6,louvain,50,0.5584514387300687,0.07263236958081734
network6,louvain,100,0.5925665773743366,0.06092146135660635
network7,RC,10,0.8005570331814083,0.003968963787106096
network7,RC,50,0.8020817628535747,0.00225880157266621
network7,RC,100,0.8200596907803759,0.0019450414728165869
network7,async_lpa,10,0.870080934985056,0.0
network7,async_lpa,50,0.870080934985056,0.0
network7,async_lpa,100,0.8544401245337863,0.0
network7,greedy,10,0.11623935940488103,0.031342679539452974
network7,greedy,50,0.11623935940488103,0.031342679539452974
network7,greedy,100,0.11623935940488103,0.031342679539452974
network7,infomap,10,0.8807184479773366,0.00017830111942721612
network7,infomap,50,0.8808306539655666,0.00022072778766338288
network7,infomap,100,0.880828250069016,7.959677600712297e-05
network7,louvain,10,0.5901342257942817,0.06542961282603497
network7,louvain,50,0.5816731324368603,0.06583123509792733
network7,louvain,100,0.5826991961565049,0.046751148354938085
network8,RC,10,0.815439773883301,0.004391587069598904
network8,RC,50,0.814352953836246,0.002253045269115949
network8,RC,100,0.8314437371424284,0.0013823106087069276
network8,async_lpa,10,0.8455487054801397,0.0
network8,async_lpa,50,0.8455487054801397,0.0
network8,async_lpa,100,0.8560302419194674,0.0
network8,greedy,10,0.11559943990346863,0.039041992498544995
network8,greedy,50,0.11559943990346863,0.039041992498544995
network8,greedy,100,0.11559943990346863,0.039041992498544995
network8,infomap,10,0.8793172518269257,0.00018092798607468653
network8,infomap,50,0.8792299261136671,0.0006438511285450606
network8,infomap,100,0.8792546240904484,0.00019253630449787178
network8,louvain,10,0.5940203138082881,0.06979579305652782
network8,louvain,50,0.6141918878715105,0.06442795033350923
network8,louvain,100,0.5957948882774544,0.05693043371134378
network9,RC,10,0.8203248570995235,0.00434376643755793
network9,RC,50,0.8189605660698334,0.0021849872678299065
network9,RC,100,0.8375834080818597,0.0016835014639648256
network9,async_lpa,10,0.8328685814140281,0.0
network9,async_lpa,50,0.8328685814140281,0.0
network9,async_lpa,100,0.8374145700240616,0.0
network9,greedy,10,0.08780538848800731,0.020622330362703497
network9,greedy,50,0.08780538848800731,0.020622330362703497
network9,greedy,100,0.08780538848800731,0.020622330362703497
network9,infomap,10,0.8767888423269025,0.0002614239938897437
network9,infomap,50,0.8765649716367022,0.0006892834652054295
network9,infomap,100,0.8764542162307452,0.0010662356598334865
network9,louvain,10,0.60943350878565,0.0712241153835455
network9,louvain,50,0.5894069554650639,0.08189497835252649
network9,louvain,100,0.5743320926404091,0.07308224583767935
